Japanese,English
"""爪""","""nail"""
"""緊""","""Tension"""
"""筒""","""Tube"""
"""栗""","""chestnut"""
"""畜""","""Livestock"""
"""翼""","""Wing"""
"""拵""","""Kosei"""
"""戰""","""War"""
"""煩""","""Annoying"""
"""沿""","""Along"""
"""控""","""Recruit"""
"""泰""","""Tai"""
"""盲""","""Blind"""
"""蔑""","""Demb"""
"""征""","""Conquer"""
"""域""","""Range"""
"""餅""","""Mochi"""
"""漂""","""Drifting"""
"""施""","""Den"""
"""烏""","""crow"""
"""亀""","""turtle"""
"""羊""","""sheep"""
"""朱""","""Zhu"""
"""覺""","""Remember"""
"""樂""","""Raku"""
"""患""","""Patient"""
"""註""","""Note"""
"""伺""","""Visit"""
"""賃""","""Wage"""
"""艶""","""gloss"""
"""喋""","""Talk"""
"""冗""","""Lord"""
"""忌""","""Anniversary"""
"""傘""","""umbrella"""
"""乙""","""Otsu"""
"""與""","""Yo"""
"""扇""","""fan"""
"""還""","""Return"""
"""蹴""","""Kick"""
"""翻""","""Relatives"""
"""李""","""Lee"""
"""索""","""Search"""
"""琴""","""Koto"""
"""卿""","""Lord"""
"""跳""","""Jump"""
"""飼""","""Ban"""
"""辱""","""Humilism"""
"""巾""","""Width"""
"""艇""","""Boat"""
"""壺""","""Vase"""
"""痩""","""Thin"""
"""浄""","""Purification"""
"""芽""","""Bud"""
"""蝶""","""butterfly"""
"""燭""","""Cands"""
"""巴""","""Tomoe"""
"""薩""","""Satsu"""
"""騎""","""Kiki"""
"""爾""","""Ni"""
"""辰""","""Dragon"""
"""峠""","""Pass"""
"""殘""","""Remaining"""
"""欧""","""Western"""
"""罰""","""punishment"""
"""魅""","""Fun"""
"""醒""","""Wake"""
"""且""","""Ka"""
"""促""","""Control"""
"""炎""","""flame"""
"""貝""","""Shell"""
"""悶""","""Agile"""
"""頓""","""Ton"""
"""沖""","""Oki"""
"""頁""","""page"""
"""圓""","""En"""
"""幹""","""stem"""
"""履""","""Put"""
"""圏""","""A sphere"""
"""蒸""","""Steamed"""
"""慶""","""Kei"""
"""昌""","""Chang"""
"""妖""","""You"""
"""鍵""","""key"""
"""汁""","""juice"""
"""盆""","""Bon"""
"""霜""","""frost"""
"""距""","""Distance"""
"""譲""","""Jun"""
"""渋""","""Shibu"""
"""亜""","""sub"""
"""俄""","""Sudden"""
"""鑑""","""Bank"""
"""從""","""Appon"""
"""瓜""","""Selection"""
"""泳""","""Swimming"""
"""屍""","""Corpse"""
"""穿""","""Pier"""
"""齢""","""age"""
"""萬""","""Man"""
"""穂""","""Ho"""
"""括""","""Control"""
"""怨""","""Grudge"""
"""塀""","""wall"""
"""獲""","""Win"""
"""歎""","""Tan"""
"""磯""","""Iso"""
"""絡""","""Tangled"""
"""汰""","""Launch"""
"""廿""","""Hatsuka"""
"""痴""","""Slut"""
"""裡""","""Ri"""
"""剥""","""Peel"""
"""蜂""","""bee"""
"""賛""","""Ai"""
"""刃""","""blade"""
"""柴""","""Shiba"""
"""頸""","""neck"""
"""牢""","""Prison"""
"""頻""","""Frequent"""
"""籍""","""A registered"""
"""蘇""","""Sos"""
"""倫""","""End"""
"""穏""","""Money"""
"""肯""","""Positive"""
"""嘉""","""Kaika"""
"""贈""","""Gift"""
"""牲""","""Escape"""
"""嘲""","""Mock"""
"""疾""","""Disease"""
"""妓""","""Geisha"""
"""誓""","""Oath"""
"""航""","""Wake"""
"""斉""","""Saikai"""
"""焚""","""Fire"""
"""盟""","""League"""
"""尖""","""Square"""
"""卷""","""Volume"""
"""悉""","""All"""
"""慌""","""Start"""
"""漠""","""Desperate"""
"""啼""","""Cry"""
"""纏""","""Bat"""
"""賑""","""Burning"""
"""啓""","""Kei"""
"""頑""","""Stubborn"""
"""膚""","""Dermat"""
"""怠""","""Lay"""
"""笹""","""Sasa"""
"""蝋""","""wax"""
"""鈍""","""Dull"""
"""摘""","""Poting"""
"""柿""","""persimmon"""
"""詮""","""After all"""
"""藪""","""Yabu"""
"""喫""","""Enjoy"""
"""芥""","""garbage"""
"""乘""","""Ride"""
"""咽""","""throat"""
"""蚊""","""mosquito"""
"""邦""","""country"""
"""鎖""","""chain"""
"""粒""","""grain"""
"""點""","""Design"""
"""藏""","""Kura"""
"""紐""","""string"""
"""均""","""Uniform"""
"""萩""","""Hagi"""
"""靜""","""Quiet"""
"""胴""","""Torso"""
"""罵""","""Abuse"""
"""嘗""","""Hey"""
"""鍋""","""pot"""
"""套""","""More"""
"""雅""","""Ya"""
"""摺""","""Sliding"""
"""憲""","""Constitution"""
"""鎮""","""Calid"""
"""喚""","""Call"""
"""楼""","""Lower"""
"""肝""","""liver"""
"""欄""","""Column"""
"""浸""","""Image"""
"""噴""","""Spring"""
"""漫""","""Man"""
"""冒""","""Advanced"""
"""徐""","""Xu"""
"""挿""","""Insert"""
"""詣""","""Visit"""
"""淵""","""Fuchi"""
"""悠""","""Yu"""
"""曳""","""Towing"""
"""捉""","""Zhou"""
"""股""","""crotch"""
"""溢""","""Overflow"""
"""鴨""","""duck"""
"""璃""","""Ri"""
"""猪""","""boar"""
"""傑""","""Hitoshi"""
"""耐""","""Resistance"""
"""宴""","""Feast"""
"""診""","""Examination"""
"""朗""","""Clar"""
"""卵""","""egg"""
"""剛""","""Go"""
"""陶""","""Ceramics"""
"""幣""","""Money"""
"""吟""","""Gin"""
"""狗""","""Dog"""
"""狩""","""Hunting"""
"""謙""","""Ken"""
"""励""","""Encouragement"""
"""犠""","""Sacrifice"""
"""袴""","""Hakama"""
"""臥""","""Later"""
"""宰""","""Prize"""
"""礎""","""Limity"""
"""遥""","""Haruka"""
"""吏""","""Prince"""
"""夷""","""Inui"""
"""些""","""Trivial"""
"""潰""","""Crush"""
"""渦""","""Swirl"""
"""耕""","""Till"""
"""療""","""Treatment"""
"""桶""","""Tub"""
"""仔""","""Pui"""
"""弄""","""Fun"""
"""崇""","""Takashi"""
"""囚""","""Prisoner"""
"""蛙""","""frog"""
"""銘""","""Inscription"""
"""旋""","""Turning"""
"""豚""","""Pig"""
"""怯""","""Fear"""
"""厄""","""disaster"""
"""禅""","""Zen"""
"""斐""","""Kai"""
"""瞳""","""pupil"""
"""囘""","""囘"""
"""粧""","""Makeup"""
"""享""","""Enjoy"""
"""雇""","""Employment"""
"""掲""","""Putting"""
"""錯""","""Combination"""
"""袂""","""Balking"""
"""晶""","""Crystal"""
"""拳""","""fist"""
"""盃""","""Cup"""
"""茫""","""Stunned"""
"""慕""","""Leading"""
"""架""","""Raiser"""
"""諦""","""Resign"""
"""讃""","""Praise"""
"""潤""","""Jun"""
"""續""","""Continue"""
"""堤""","""Embankment"""
"""砕""","""Crushed"""
"""遙""","""Haruka"""
"""焔""","""flame"""
"""刈""","""Kear"""
"""塞""","""Fortress"""
"""藁""","""straw"""
"""寢""","""寢"""
"""岐""","""Ki"""
"""弘""","""Hiroshi"""
"""援""","""Support"""
"""殖""","""Breeding"""
"""陀""","""Da"""
"""鷹""","""hawk"""
"""汲""","""Dumping"""
"""欺""","""Deceive"""
"""脅""","""Threat"""
"""暦""","""calendar"""
"""排""","""Exhaust"""
"""痕""","""Birth"""
"""聯""","""Union"""
"""叙""","""Review"""
"""酌""","""Drink"""
"""惹""","""Cigor"""
"""慄""","""Temple"""
"""窺""","""Look"""
"""猟""","""hunting"""
"""獨""","""Dokk"""
"""臆""","""I'm sorry"""
"""瑠""","""Ru"""
"""滴""","""drop"""
"""襖""","""Fusuma"""
"""但""","""Tasu"""
"""梢""","""Teetsu"""
"""廣""","""Hiroshi"""
"""埃""","""dust"""
"""蹟""","""Mandarin"""
"""塊""","""mass"""
"""妨""","""History"""
"""謡""","""Song"""
"""顎""","""jaw"""
"""梯""","""Ladder"""
"""嵐""","""storm"""
"""溝""","""groove"""
"""繋""","""Connection"""
"""慎""","""Shin"""
"""疎""","""Suspicious"""
"""畫""","""Painting"""
"""貢""","""Tribute"""
"""皺""","""wrinkle"""
"""撲""","""Morning"""
"""絞""","""Squeeze"""
"""嫉""","""Jealousy"""
"""凍""","""Frozen"""
"""輸""","""Transport"""
"""爭""","""爭"""
"""臺""","""Odai"""
"""析""","""Analyst"""
"""莫""","""Mogi"""
"""株""","""stock"""
"""秩""","""Chush"""
"""愁""","""Sorrow"""
"""妬""","""Jealousy"""
"""碗""","""bowl"""
"""郵""","""Post"""
"""昂""","""Ritsu"""
"""劉""","""Liu"""
"""葛""","""Kuzu"""
"""棲""","""Resident"""
"""蓄""","""Storage"""
"""侮""","""Demotation"""
"""仇""","""Empire"""
"""參""","""Visit"""
"""液""","""liquid"""
"""隈""","""Kuma"""
"""俯""","""Low down"""
"""鉛""","""lead"""
"""詠""","""Wing"""
"""僚""","""Horse"""
"""拒""","""Rejection"""
"""裳""","""Cost"""
"""藻""","""Alga"""
"""緩""","""Slow"""
"""稚""","""Child"""
"""迦""","""Buddha"""
"""頗""","""Masu"""
"""庸""","""Yo"""
"""錦""","""Nishiki"""
"""遁""","""Eternal"""
"""慧""","""Hui"""
"""幡""","""Hata"""
"""携""","""Crew"""
"""弦""","""string"""
"""癒""","""Healing"""
"""滞""","""Dear"""
"""奧""","""Back"""
"""穀""","""Grain"""
"""暁""","""Akatsuki"""
"""桂""","""Katsura"""
"""況""","""Status"""
"""伐""","""Cutting"""
"""邊""","""Hae"""
"""吻""","""Sing"""
"""芋""","""potato"""
"""擦""","""Rubbing"""
"""恭""","""Kyo"""
"""懇""","""Hello"""
"""庁""","""Agency"""
"""績""","""Result"""
"""菩""","""Bodhi"""
"""泡""","""foam"""
"""霞""","""haze"""
"""堕""","""Fall"""
"""把""","""I understand"""
"""辿""","""Fast"""
"""撮""","""Shooting"""
"""瞭""","""Clear"""
"""將""","""General"""
"""箸""","""chopstick"""
"""牡""","""Tow"""
